policy,objective_kind,threshold_name,threshold_value,n_sessions,n_stop_sessions,total_actual_final_pl,total_stop_pl,total_peak_pl,total_elo_delta_vs_actual,total_elo_left_vs_peak,mean_realized_pl,mean_actual_final_pl,mean_peak_pl,mean_capture_ratio,mean_stop_game_index
balanced,peak_binary,peak_stop_threshold,0.35,35,28,65.0,51.0,293.0,-14.0,242.0,1.457142857142857,1.8571428571428572,8.371428571428572,1.1442080836679436,2.0
balanced,peak_binary,peak_stop_threshold,0.375,35,28,65.0,51.0,293.0,-14.0,242.0,1.457142857142857,1.8571428571428572,8.371428571428572,1.1442080836679436,2.0
balanced,peak_binary,peak_stop_threshold,0.39999999999999997,35,28,65.0,51.0,293.0,-14.0,242.0,1.457142857142857,1.8571428571428572,8.371428571428572,1.1442080836679436,2.0
balanced,peak_binary,peak_stop_threshold,0.425,35,28,65.0,51.0,293.0,-14.0,242.0,1.457142857142857,1.8571428571428572,8.371428571428572,1.1442080836679436,2.0
balanced,peak_binary,peak_stop_threshold,0.44999999999999996,35,27,65.0,47.0,293.0,-18.0,246.0,1.3428571428571427,1.8571428571428572,8.371428571428572,1.1337914170012768,2.085714285714286
balanced,peak_binary,peak_stop_threshold,0.475,35,27,65.0,47.0,293.0,-18.0,246.0,1.3428571428571427,1.8571428571428572,8.371428571428572,1.1337914170012768,2.085714285714286
balanced,peak_binary,peak_stop_threshold,0.5,35,26,65.0,44.0,293.0,-21.0,249.0,1.2571428571428571,1.8571428571428572,8.371428571428572,1.12337475033461,2.342857142857143
balanced,peak_binary,peak_stop_threshold,0.525,35,23,65.0,69.0,293.0,4.0,224.0,1.9714285714285715,1.8571428571428572,8.371428571428572,1.1848330836679435,2.742857142857143
balanced,peak_binary,peak_stop_threshold,0.55,35,20,65.0,64.0,293.0,-1.0,229.0,1.8285714285714285,1.8571428571428572,8.371428571428572,1.158791417001277,2.8857142857142857
balanced,peak_binary,peak_stop_threshold,0.575,35,17,65.0,64.0,293.0,-1.0,229.0,1.8285714285714285,1.8571428571428572,8.371428571428572,1.158791417001277,2.942857142857143
balanced,peak_binary,peak_stop_threshold,0.6,35,17,65.0,64.0,293.0,-1.0,229.0,1.8285714285714285,1.8571428571428572,8.371428571428572,1.158791417001277,2.942857142857143
balanced,peak_binary,peak_stop_threshold,0.625,35,16,65.0,64.0,293.0,-1.0,229.0,1.8285714285714285,1.8571428571428572,8.371428571428572,1.158791417001277,2.942857142857143
balanced,peak_binary,peak_stop_threshold,0.65,35,14,65.0,65.0,293.0,0.0,228.0,1.8571428571428572,1.8571428571428572,8.371428571428572,1.1608747503346102,3.1142857142857143
balanced,peak_binary,peak_stop_threshold,0.675,35,13,65.0,52.0,293.0,-13.0,241.0,1.4857142857142858,1.8571428571428572,8.371428571428572,1.1608747503346102,3.5428571428571427
balanced,peak_binary,peak_stop_threshold,0.7,35,13,65.0,52.0,293.0,-13.0,241.0,1.4857142857142858,1.8571428571428572,8.371428571428572,1.1608747503346102,3.5428571428571427
balanced,peak_binary,peak_stop_threshold,0.725,35,10,65.0,54.0,293.0,-11.0,239.0,1.542857142857143,1.8571428571428572,8.371428571428572,1.1540814486194335,4.371428571428571
balanced,peak_binary,peak_stop_threshold,0.75,35,10,65.0,54.0,293.0,-11.0,239.0,1.542857142857143,1.8571428571428572,8.371428571428572,1.1540814486194335,4.371428571428571
balanced,peak_binary,peak_stop_threshold,0.775,35,9,65.0,37.0,293.0,-28.0,256.0,1.0571428571428572,1.8571428571428572,8.371428571428572,1.1228314486194335,4.457142857142857
balanced,peak_binary,peak_stop_threshold,0.8,35,8,65.0,37.0,293.0,-28.0,256.0,1.0571428571428572,1.8571428571428572,8.371428571428572,1.1228314486194335,4.457142857142857
balanced,peak_binary,peak_stop_threshold,0.825,35,8,65.0,37.0,293.0,-28.0,256.0,1.0571428571428572,1.8571428571428572,8.371428571428572,1.1228314486194335,4.457142857142857
balanced,peak_binary,peak_stop_threshold,0.85,35,8,65.0,37.0,293.0,-28.0,256.0,1.0571428571428572,1.8571428571428572,8.371428571428572,1.1228314486194335,4.457142857142857
